Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas536           Pavarde536          3         6         3         10        2         2         
Vardas537           Pavarde537          3         7         7         4         2         10        
Vardas538           Pavarde538          6         8         4         6         3         2         
Vardas539           Pavarde539          9         4         0         7         5         3         
Vardas540           Pavarde540          7         8         2         7         3         3         
Vardas541           Pavarde541          8         6         1         0         2         5         
Vardas542           Pavarde542          10        3         6         10        7         9         
Vardas543           Pavarde543          5         9         10        9         10        1         
Vardas544           Pavarde544          7         10        0         10        2         1         
Vardas545           Pavarde545          10        6         8         5         3         8         
Vardas546           Pavarde546          7         5         8         7         7         1         
Vardas547           Pavarde547          9         6         8         8         10        1         
Vardas548           Pavarde548          9         1         4         1         4         2         
Vardas549           Pavarde549          4         4         0         9         8         3         
Vardas550           Pavarde550          8         0         6         0         5         2         
Vardas551           Pavarde551          1         3         2         9         5         5         
Vardas552           Pavarde552          3         7         4         7         8         0         
Vardas553           Pavarde553          5         3         6         8         6         0         
Vardas554           Pavarde554          8         0         2         3         8         2         
Vardas555           Pavarde555          2         3         8         9         8         6         
Vardas556           Pavarde556          6         8         6         4         1         9         
Vardas557           Pavarde557          4         7         1         10        9         6         
Vardas558           Pavarde558          5         3         9         5         1         6         
Vardas559           Pavarde559          7         7         9         4         8         8         
Vardas560           Pavarde560          10        3         0         3         7         1         
Vardas561           Pavarde561          9         8         7         2         10        1         
Vardas562           Pavarde562          1         1         4         7         2         4         
Vardas563           Pavarde563          1         0         5         3         6         2         
Vardas564           Pavarde564          3         0         2         0         7         7         
Vardas565           Pavarde565          2         10        10        9         7         4         
Vardas566           Pavarde566          0         4         0         0         7         6         
Vardas567           Pavarde567          2         1         1         0         9         2         
Vardas568           Pavarde568          9         4         2         7         10        4         
Vardas569           Pavarde569          3         1         2         5         5         10        
Vardas570           Pavarde570          8         6         2         2         0         1         
Vardas571           Pavarde571          5         9         9         2         5         9         
Vardas572           Pavarde572          10        7         6         3         1         1         
Vardas573           Pavarde573          5         3         1         8         5         3         
Vardas574           Pavarde574          9         9         6         7         6         2         
Vardas575           Pavarde575          10        5         2         5         2         1         
Vardas576           Pavarde576          6         10        7         6         0         4         
Vardas577           Pavarde577          2         2         3         7         5         5         
Vardas578           Pavarde578          8         6         0         5         3         0         
Vardas579           Pavarde579          2         2         7         1         2         5         
Vardas580           Pavarde580          7         2         10        8         6         6         
Vardas581           Pavarde581          3         1         9         1         5         8         
Vardas582           Pavarde582          8         6         1         0         10        9         
Vardas583           Pavarde583          9         5         3         1         4         9         
Vardas584           Pavarde584          3         0         4         5         10        5         
Vardas585           Pavarde585          3         5         6         2         9         0         
Vardas586           Pavarde586          4         5         8         10        6         0         
Vardas587           Pavarde587          6         3         7         9         8         5         
Vardas588           Pavarde588          5         3         1         1         4         0         
Vardas589           Pavarde589          8         6         4         8         1         2         
Vardas590           Pavarde590          0         3         5         0         8         5         
Vardas591           Pavarde591          6         2         7         10        0         0         
Vardas592           Pavarde592          4         6         8         4         7         9         
Vardas593           Pavarde593          4         5         2         6         3         5         
Vardas594           Pavarde594          2         10        8         10        0         3         
Vardas595           Pavarde595          0         1         8         5         7         7         
Vardas596           Pavarde596          7         7         4         0         2         7         
Vardas597           Pavarde597          0         0         9         1         0         5         
Vardas598           Pavarde598          10        6         8         4         1         9         
Vardas599           Pavarde599          9         8         2         10        0         9         
Vardas600           Pavarde600          8         9         2         5         1         6         
Vardas601           Pavarde601          7         2         7         4         9         2         
Vardas602           Pavarde602          2         0         9         1         2         7         
Vardas603           Pavarde603          8         3         2         0         6         6         
Vardas604           Pavarde604          2         0         8         3         8         4         
Vardas605           Pavarde605          6         3         9         8         8         8         
Vardas606           Pavarde606          10        9         7         9         6         6         
Vardas607           Pavarde607          1         7         10        3         6         8         
Vardas608           Pavarde608          1         0         10        7         10        1         
Vardas609           Pavarde609          4         2         10        6         3         1         
Vardas610           Pavarde610          2         0         5         9         8         4         
Vardas611           Pavarde611          1         5         0         10        2         4         
Vardas612           Pavarde612          9         4         5         2         3         6         
Vardas613           Pavarde613          3         4         5         6         0         8         
Vardas614           Pavarde614          7         0         3         4         4         9         
Vardas615           Pavarde615          3         2         4         1         7         9         
Vardas616           Pavarde616          4         4         5         1         6         0         
Vardas617           Pavarde617          3         8         7         10        9         6         
Vardas618           Pavarde618          5         6         1         4         9         7         
Vardas619           Pavarde619          9         8         5         9         9         6         
Vardas620           Pavarde620          8         0         5         2         0         3         
Vardas621           Pavarde621          8         9         3         1         5         6         
Vardas622           Pavarde622          9         2         3         10        4         1         
Vardas623           Pavarde623          2         7         7         1         0         0         
Vardas624           Pavarde624          8         7         7         2         7         9         
Vardas625           Pavarde625          7         5         3         4         4         9         
Vardas626           Pavarde626          9         7         9         2         6         8         
Vardas627           Pavarde627          3         10        3         10        7         8         
Vardas628           Pavarde628          8         8         0         4         1         2         
Vardas629           Pavarde629          2         9         6         2         9         0         
Vardas630           Pavarde630          9         1         3         1         7         5         
Vardas631           Pavarde631          1         4         5         7         5         6         
Vardas632           Pavarde632          7         5         2         0         8         5         
Vardas633           Pavarde633          0         10        2         8         6         1         
Vardas634           Pavarde634          5         10        2         3         5         10        
Vardas635           Pavarde635          4         5         2         6         0         10        
Vardas636           Pavarde636          10        6         10        8         6         8         
Vardas637           Pavarde637          0         2         9         1         8         2         
Vardas638           Pavarde638          8         7         3         7         10        6         
Vardas639           Pavarde639          2         1         6         10        7         8         
Vardas640           Pavarde640          7         6         8         3         3         6         
Vardas641           Pavarde641          2         6         6         7         10        7         
Vardas642           Pavarde642          1         9         3         0         5         8         
Vardas643           Pavarde643          1         9         3         7         1         2         
Vardas644           Pavarde644          8         0         1         4         9         6         
Vardas645           Pavarde645          6         8         9         3         8         10        
Vardas646           Pavarde646          0         9         0         0         4         1         
Vardas647           Pavarde647          5         9         8         9         2         9         
Vardas648           Pavarde648          7         9         3         1         9         0         
Vardas649           Pavarde649          2         7         10        2         6         8         
Vardas650           Pavarde650          8         1         4         1         4         7         
Vardas651           Pavarde651          7         1         6         1         10        4         
Vardas652           Pavarde652          10        3         6         1         2         0         
Vardas653           Pavarde653          5         2         5         8         10        5         
Vardas654           Pavarde654          8         8         4         6         10        2         
Vardas655           Pavarde655          9         3         5         6         0         3         
Vardas656           Pavarde656          7         10        4         1         7         9         
Vardas657           Pavarde657          6         9         3         3         4         3         
Vardas658           Pavarde658          7         6         5         5         3         3         
Vardas659           Pavarde659          5         3         9         5         5         7         
Vardas660           Pavarde660          8         7         10        6         7         1         
Vardas661           Pavarde661          10        6         9         9         10        6         
Vardas662           Pavarde662          9         2         5         2         3         0         
Vardas663           Pavarde663          0         6         1         7         0         10        
Vardas664           Pavarde664          0         8         5         9         6         10        
Vardas665           Pavarde665          7         9         0         2         9         1         
Vardas666           Pavarde666          2         8         5         1         8         0         
Vardas667           Pavarde667          4         3         10        3         7         3         
Vardas668           Pavarde668          0         2         4         9         4         5         
Vardas669           Pavarde669          1         0         4         3         4         2         
Vardas670           Pavarde670          0         3         5         1         9         2         
Vardas671           Pavarde671          9         6         10        7         5         8         
Vardas672           Pavarde672          9         6         8         4         10        1         
Vardas673           Pavarde673          9         7         4         10        10        4         
Vardas674           Pavarde674          2         5         2         8         1         10        
Vardas675           Pavarde675          5         10        1         0         4         1         
Vardas676           Pavarde676          1         4         2         1         8         9         
Vardas677           Pavarde677          10        7         6         3         10        8         
Vardas678           Pavarde678          8         5         10        10        2         3         
Vardas679           Pavarde679          6         10        3         0         3         7         
Vardas680           Pavarde680          10        5         5         2         8         6         
Vardas681           Pavarde681          5         10        8         4         0         9         
Vardas682           Pavarde682          7         1         4         1         9         4         
Vardas683           Pavarde683          2         7         2         3         9         0         
Vardas684           Pavarde684          1         8         8         10        1         6         
Vardas685           Pavarde685          8         0         10        7         4         6         
Vardas686           Pavarde686          5         3         9         7         10        7         
Vardas687           Pavarde687          0         6         8         7         9         10        
Vardas688           Pavarde688          5         6         3         6         10        10        
Vardas689           Pavarde689          2         5         4         0         4         9         
Vardas690           Pavarde690          1         4         10        4         7         10        
Vardas691           Pavarde691          7         3         8         4         1         3         
Vardas692           Pavarde692          4         10        9         6         0         4         
Vardas693           Pavarde693          9         9         9         1         4         10        
Vardas694           Pavarde694          1         6         10        7         8         8         
Vardas695           Pavarde695          1         6         9         6         1         6         
Vardas696           Pavarde696          7         5         6         7         4         4         
Vardas697           Pavarde697          3         10        8         10        9         7         
Vardas698           Pavarde698          3         0         9         6         0         3         
Vardas699           Pavarde699          2         0         7         3         10        8         
Vardas700           Pavarde700          10        1         9         3         6         8         
Vardas701           Pavarde701          8         3         5         9         0         0         
Vardas702           Pavarde702          6         2         9         4         10        3         
Vardas703           Pavarde703          6         0         6         10        2         7         
Vardas704           Pavarde704          4         3         8         6         5         8         
Vardas705           Pavarde705          8         1         3         8         10        9         
Vardas706           Pavarde706          5         7         7         3         9         7         
Vardas707           Pavarde707          3         0         10        4         6         10        
Vardas708           Pavarde708          1         3         3         8         6         7         
Vardas709           Pavarde709          6         6         9         6         6         9         
Vardas710           Pavarde710          3         5         4         4         0         0         
Vardas711           Pavarde711          10        1         7         7         4         3         
Vardas712           Pavarde712          2         4         8         3         4         8         
Vardas713           Pavarde713          5         10        6         1         5         2         
Vardas714           Pavarde714          4         3         7         7         2         5         
Vardas715           Pavarde715          9         7         2         6         3         9         
Vardas716           Pavarde716          3         3         0         9         2         9         
Vardas717           Pavarde717          10        10        7         3         8         1         
Vardas718           Pavarde718          8         9         0         0         0         5         
Vardas719           Pavarde719          10        0         3         9         2         2         
Vardas720           Pavarde720          7         9         5         4         9         8         
Vardas721           Pavarde721          1         4         4         1         7         4         
Vardas722           Pavarde722          0         7         1         7         9         0         
Vardas723           Pavarde723          3         6         8         2         3         8         
Vardas724           Pavarde724          4         2         7         9         7         5         
Vardas725           Pavarde725          9         3         5         0         9         4         
Vardas726           Pavarde726          7         9         1         0         1         4         
Vardas727           Pavarde727          9         4         1         3         4         8         
Vardas728           Pavarde728          0         6         7         6         3         10        
Vardas729           Pavarde729          8         5         6         3         5         7         
Vardas730           Pavarde730          3         5         7         5         9         3         
Vardas731           Pavarde731          6         5         7         1         2         8         
Vardas732           Pavarde732          2         8         10        7         3         7         
Vardas733           Pavarde733          6         0         5         8         1         7         
Vardas734           Pavarde734          3         1         0         1         0         6         
Vardas735           Pavarde735          8         10        9         4         4         2         
Vardas736           Pavarde736          2         1         3         7         0         10        
Vardas737           Pavarde737          1         5         3         1         3         5         
Vardas738           Pavarde738          3         4         4         8         7         8         
Vardas739           Pavarde739          2         9         1         6         1         4         
Vardas740           Pavarde740          8         1         1         10        7         10        
Vardas741           Pavarde741          0         5         2         4         6         5         
Vardas742           Pavarde742          3         1         3         4         5         2         
Vardas743           Pavarde743          4         7         2         9         3         8         
Vardas744           Pavarde744          1         4         7         6         4         0         
Vardas745           Pavarde745          9         9         6         0         1         10        
Vardas746           Pavarde746          4         10        0         8         2         5         
Vardas747           Pavarde747          4         8         1         8         9         6         
Vardas748           Pavarde748          0         8         2         6         10        2         
Vardas749           Pavarde749          8         5         4         6         9         4         
Vardas750           Pavarde750          3         5         0         1         1         7         
Vardas751           Pavarde751          2         4         9         5         1         5         
Vardas752           Pavarde752          5         4         2         8         0         4         
Vardas753           Pavarde753          6         5         2         5         7         7         
Vardas754           Pavarde754          10        8         8         10        8         8         
Vardas755           Pavarde755          6         4         1         8         1         5         
Vardas756           Pavarde756          7         1         7         2         10        4         
Vardas757           Pavarde757          8         4         8         7         8         8         
Vardas758           Pavarde758          4         0         4         0         0         1         
Vardas759           Pavarde759          5         10        0         2         2         3         
Vardas760           Pavarde760          4         4         7         8         8         3         
Vardas761           Pavarde761          7         10        1         3         2         6         
Vardas762           Pavarde762          8         3         6         9         1         5         
Vardas763           Pavarde763          7         2         6         3         0         1         
Vardas764           Pavarde764          7         3         1         7         4         8         
Vardas765           Pavarde765          3         9         0         6         5         4         
Vardas766           Pavarde766          1         7         2         10        2         4         
Vardas767           Pavarde767          10        4         5         10        6         1         
Vardas768           Pavarde768          6         8         0         8         2         5         
Vardas769           Pavarde769          1         9         1         2         0         8         
Vardas770           Pavarde770          7         7         5         2         0         1         
Vardas771           Pavarde771          7         4         4         1         0         2         
Vardas772           Pavarde772          8         1         8         9         10        3         
Vardas773           Pavarde773          8         10        0         5         0         4         
Vardas774           Pavarde774          0         8         6         8         6         9         
Vardas775           Pavarde775          5         2         6         6         5         10        
Vardas776           Pavarde776          2         8         10        5         1         9         
Vardas777           Pavarde777          10        5         9         4         7         7         
Vardas778           Pavarde778          0         4         10        9         6         10        
Vardas779           Pavarde779          1         3         2         4         8         9         
Vardas780           Pavarde780          7         8         8         9         2         2         
Vardas781           Pavarde781          0         9         7         4         7         0         
Vardas782           Pavarde782          2         1         6         6         7         0         
Vardas783           Pavarde783          7         3         10        7         9         0         
Vardas784           Pavarde784          0         6         10        7         1         0         
Vardas785           Pavarde785          8         6         1         2         3         9         
Vardas786           Pavarde786          5         0         7         8         4         0         
Vardas787           Pavarde787          1         1         9         2         4         0         
Vardas788           Pavarde788          1         6         3         7         5         4         
Vardas789           Pavarde789          5         10        3         1         8         4         
Vardas790           Pavarde790          4         7         2         1         2         3         
Vardas791           Pavarde791          1         7         2         7         3         2         
Vardas792           Pavarde792          6         7         5         7         9         2         
Vardas793           Pavarde793          10        7         8         9         9         0         
Vardas794           Pavarde794          7         8         8         4         9         8         
Vardas795           Pavarde795          3         0         3         3         2         10        
Vardas796           Pavarde796          1         8         7         4         8         4         
Vardas797           Pavarde797          0         4         2         7         2         4         
Vardas798           Pavarde798          1         6         10        7         2         1         
Vardas799           Pavarde799          10        3         0         9         5         8         
Vardas800           Pavarde800          4         5         8         5         3         8         
Vardas801           Pavarde801          5         4         2         1         5         0         
Vardas802           Pavarde802          0         0         0         8         7         10        
Vardas803           Pavarde803          6         5         5         4         6         9         
Vardas804           Pavarde804          10        2         7         3         3         7         
Vardas805           Pavarde805          6         8         1         9         4         9         
Vardas806           Pavarde806          7         0         1         5         3         3         
Vardas807           Pavarde807          9         6         0         1         6         3         
Vardas808           Pavarde808          1         9         0         3         8         9         
Vardas809           Pavarde809          8         2         6         2         10        7         
Vardas810           Pavarde810          2         0         2         1         7         3         
Vardas811           Pavarde811          9         9         5         0         4         1         
Vardas812           Pavarde812          8         6         9         1         4         8         
Vardas813           Pavarde813          7         2         5         8         8         2         
Vardas814           Pavarde814          8         8         5         7         9         8         
Vardas815           Pavarde815          3         5         9         4         9         5         
Vardas816           Pavarde816          10        7         6         5         9         9         
Vardas817           Pavarde817          3         3         6         5         7         9         
Vardas818           Pavarde818          1         0         2         6         9         6         
Vardas819           Pavarde819          2         2         9         2         9         3         
Vardas820           Pavarde820          0         4         7         4         5         2         
Vardas821           Pavarde821          3         1         3         7         3         9         
Vardas822           Pavarde822          8         2         6         9         2         0         
Vardas823           Pavarde823          2         5         8         4         10        5         
Vardas824           Pavarde824          3         9         9         9         4         1         
Vardas825           Pavarde825          4         10        2         3         1         2         
Vardas826           Pavarde826          5         1         8         5         6         10        
Vardas827           Pavarde827          10        8         7         3         3         2         
Vardas828           Pavarde828          7         8         7         7         4         4         
Vardas829           Pavarde829          4         2         10        8         6         7         
Vardas830           Pavarde830          4         8         6         0         5         0         
Vardas831           Pavarde831          2         7         5         4         7         9         
Vardas832           Pavarde832          1         4         8         4         2         3         
Vardas833           Pavarde833          8         2         9         5         2         7         
Vardas834           Pavarde834          2         2         1         4         7         3         
Vardas835           Pavarde835          7         7         1         6         9         1         
Vardas836           Pavarde836          6         8         4         9         1         6         
Vardas837           Pavarde837          8         3         7         10        2         0         
Vardas838           Pavarde838          2         5         6         9         10        5         
Vardas839           Pavarde839          3         1         7         1         8         6         
Vardas840           Pavarde840          3         4         7         4         0         4         
Vardas841           Pavarde841          5         2         8         2         3         5         
Vardas842           Pavarde842          1         9         7         10        3         7         
Vardas843           Pavarde843          0         3         0         10        4         4         
Vardas844           Pavarde844          0         1         4         3         6         2         
Vardas845           Pavarde845          8         10        1         5         3         8         
Vardas846           Pavarde846          3         2         2         5         5         9         
Vardas847           Pavarde847          0         0         7         3         1         10        
Vardas848           Pavarde848          7         0         0         0         3         3         
Vardas849           Pavarde849          4         10        3         7         10        10        
Vardas850           Pavarde850          0         1         2         4         0         6         
Vardas851           Pavarde851          1         3         0         0         2         4         
Vardas852           Pavarde852          0         6         7         9         4         3         
Vardas853           Pavarde853          2         10        2         3         3         7         
Vardas854           Pavarde854          9         5         2         0         4         5         
Vardas855           Pavarde855          8         0         3         4         4         4         
Vardas856           Pavarde856          7         8         10        0         10        4         
Vardas857           Pavarde857          1         7         7         0         0         4         
Vardas858           Pavarde858          3         5         5         6         9         7         
Vardas859           Pavarde859          3         9         7         6         6         9         
Vardas860           Pavarde860          9         6         2         6         0         4         
Vardas861           Pavarde861          5         4         5         6         10        10        
Vardas862           Pavarde862          5         1         2         2         5         1         
Vardas863           Pavarde863          3         4         1         8         10        9         
Vardas864           Pavarde864          2         3         7         9         6         10        
Vardas865           Pavarde865          10        2         2         2         4         3         
Vardas866           Pavarde866          4         8         6         6         3         0         
Vardas867           Pavarde867          6         7         8         3         5         2         
Vardas868           Pavarde868          10        5         5         2         4         1         
Vardas869           Pavarde869          10        6         3         2         4         8         
Vardas870           Pavarde870          9         3         9         10        4         10        
Vardas871           Pavarde871          7         5         2         5         6         6         
Vardas872           Pavarde872          3         7         1         9         0         8         
Vardas873           Pavarde873          9         6         8         5         9         8         
Vardas874           Pavarde874          7         7         6         9         1         0         
Vardas875           Pavarde875          0         10        0         9         8         4         
Vardas876           Pavarde876          9         5         4         10        2         0         
Vardas877           Pavarde877          3         2         3         0         2         8         
Vardas878           Pavarde878          6         7         4         5         9         3         
Vardas879           Pavarde879          10        5         7         2         10        8         
Vardas880           Pavarde880          6         6         8         1         1         6         
Vardas881           Pavarde881          0         8         6         6         4         4         
Vardas882           Pavarde882          10        2         9         3         9         7         
Vardas883           Pavarde883          5         4         8         8         8         10        
Vardas884           Pavarde884          10        7         0         1         8         7         
Vardas885           Pavarde885          4         2         3         0         3         9         
Vardas886           Pavarde886          3         7         0         1         3         2         
Vardas887           Pavarde887          4         1         4         7         10        2         
Vardas888           Pavarde888          2         8         9         6         2         3         
Vardas889           Pavarde889          2         3         5         2         0         10        
Vardas890           Pavarde890          3         0         5         5         8         2         
Vardas891           Pavarde891          4         4         7         5         6         6         
Vardas892           Pavarde892          6         8         8         2         3         1         
Vardas893           Pavarde893          9         4         3         9         8         8         
Vardas894           Pavarde894          4         3         8         4         4         9         
Vardas895           Pavarde895          9         2         8         8         10        6         
Vardas896           Pavarde896          6         7         5         2         6         4         
Vardas897           Pavarde897          1         3         7         9         10        3         
Vardas898           Pavarde898          7         8         2         5         3         8         
Vardas899           Pavarde899          1         2         10        4         10        6         
Vardas900           Pavarde900          3         3         8         9         10        4         
Vardas901           Pavarde901          10        5         6         4         7         6         
Vardas902           Pavarde902          5         9         2         4         9         4         
Vardas903           Pavarde903          1         9         7         2         7         5         
Vardas904           Pavarde904          2         6         3         3         0         0         
Vardas905           Pavarde905          6         5         6         3         0         6         
Vardas906           Pavarde906          0         1         5         2         0         8         
Vardas907           Pavarde907          6         3         1         8         0         9         
Vardas908           Pavarde908          7         3         1         7         2         6         
Vardas909           Pavarde909          8         8         2         0         6         6         
Vardas910           Pavarde910          6         1         0         10        1         9         
Vardas911           Pavarde911          9         10        0         9         0         7         
Vardas912           Pavarde912          8         6         2         10        3         7         
Vardas913           Pavarde913          8         8         5         8         5         7         
Vardas914           Pavarde914          0         9         10        9         7         0         
Vardas915           Pavarde915          5         5         3         6         8         4         
Vardas916           Pavarde916          9         4         9         4         8         4         
Vardas917           Pavarde917          1         1         6         1         5         9         
Vardas918           Pavarde918          9         10        8         8         6         0         
Vardas919           Pavarde919          4         3         2         1         7         7         
Vardas920           Pavarde920          10        9         3         3         0         0         
Vardas921           Pavarde921          10        0         9         0         6         0         
Vardas922           Pavarde922          6         7         5         6         5         1         
Vardas923           Pavarde923          1         6         1         8         9         0         
Vardas924           Pavarde924          2         2         8         6         5         5         
Vardas925           Pavarde925          0         5         6         4         9         7         
Vardas926           Pavarde926          2         7         0         1         8         7         
Vardas927           Pavarde927          8         10        5         7         9         3         
Vardas928           Pavarde928          10        7         10        0         4         2         
Vardas929           Pavarde929          4         6         9         4         2         8         
Vardas930           Pavarde930          6         1         8         9         0         8         
Vardas931           Pavarde931          10        8         0         0         5         0         
Vardas932           Pavarde932          1         3         4         6         6         3         
Vardas933           Pavarde933          10        5         5         4         4         6         
Vardas934           Pavarde934          7         9         0         6         2         4         
Vardas935           Pavarde935          7         9         4         2         4         9         
Vardas936           Pavarde936          7         6         5         6         0         6         
Vardas937           Pavarde937          1         4         8         3         8         6         
Vardas938           Pavarde938          3         1         7         8         7         10        
Vardas939           Pavarde939          1         3         5         1         10        3         
Vardas940           Pavarde940          0         8         5         5         7         10        
Vardas941           Pavarde941          7         5         1         5         2         6         
Vardas942           Pavarde942          8         10        10        5         2         3         
Vardas943           Pavarde943          3         9         4         4         7         0         
Vardas944           Pavarde944          9         7         3         5         4         0         
Vardas945           Pavarde945          6         1         0         7         2         2         
Vardas946           Pavarde946          2         4         8         2         1         3         
Vardas947           Pavarde947          4         10        3         10        9         2         
Vardas948           Pavarde948          8         0         2         5         6         6         
Vardas949           Pavarde949          1         4         9         3         8         1         
Vardas950           Pavarde950          1         9         6         10        3         3         
Vardas951           Pavarde951          10        5         2         9         9         9         
Vardas952           Pavarde952          1         10        4         1         5         1         
Vardas953           Pavarde953          2         5         0         9         10        4         
Vardas954           Pavarde954          6         2         2         0         6         5         
Vardas955           Pavarde955          8         6         4         4         2         8         
Vardas956           Pavarde956          7         7         3         1         0         6         
Vardas957           Pavarde957          9         3         1         1         8         8         
Vardas958           Pavarde958          6         4         8         3         0         8         
Vardas959           Pavarde959          2         1         3         3         7         4         
Vardas960           Pavarde960          7         7         5         0         1         10        
Vardas961           Pavarde961          7         2         1         6         6         5         
Vardas962           Pavarde962          3         9         10        5         5         3         
Vardas963           Pavarde963          9         4         6         10        6         3         
Vardas964           Pavarde964          9         8         9         8         7         6         
Vardas965           Pavarde965          3         6         9         5         0         6         
Vardas966           Pavarde966          5         5         3         5         9         10        
Vardas967           Pavarde967          9         7         0         5         7         7         
Vardas968           Pavarde968          0         3         0         2         0         9         
Vardas969           Pavarde969          2         0         0         7         8         5         
Vardas970           Pavarde970          5         8         6         8         2         5         
Vardas971           Pavarde971          0         4         6         9         0         7         
Vardas972           Pavarde972          9         5         7         5         10        7         
Vardas973           Pavarde973          6         9         10        0         7         3         
Vardas974           Pavarde974          3         3         9         1         6         4         
Vardas975           Pavarde975          8         9         2         3         10        3         
Vardas976           Pavarde976          1         1         3         7         8         2         
Vardas977           Pavarde977          10        0         5         3         3         8         
Vardas978           Pavarde978          10        1         7         9         1         2         
Vardas979           Pavarde979          9         7         4         3         6         8         
Vardas980           Pavarde980          4         8         4         5         7         8         
Vardas981           Pavarde981          7         0         7         6         6         2         
Vardas982           Pavarde982          0         1         7         6         5         10        
Vardas983           Pavarde983          9         2         0         5         2         3         
Vardas984           Pavarde984          5         8         6         9         0         2         
Vardas985           Pavarde985          3         7         1         4         9         4         
Vardas986           Pavarde986          5         5         0         7         7         2         
Vardas987           Pavarde987          8         9         8         9         6         4         
Vardas988           Pavarde988          1         7         1         8         8         5         
Vardas989           Pavarde989          5         5         1         2         8         10        
Vardas990           Pavarde990          7         0         0         6         0         3         
Vardas991           Pavarde991          6         10        0         9         0         0         
Vardas992           Pavarde992          0         0         8         0         1         0         
Vardas993           Pavarde993          5         10        1         10        3         2         
Vardas994           Pavarde994          0         6         3         7         10        7         
Vardas995           Pavarde995          6         2         0         2         0         2         
Vardas996           Pavarde996          0         4         10        8         8         0         
Vardas997           Pavarde997          4         3         7         3         0         6         
Vardas998           Pavarde998          4         2         7         7         8         10        
Vardas999           Pavarde999          2         1         5         8         5         5         
Vardas1000          Pavarde1000         10        8         9         3         3         5         
