Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
Vardas46699         Pavarde46699        2.08                2.00                
Vardas46923         Pavarde46923        2.08                0.80                
Vardas47084         Pavarde47084        2.08                2.40                
Vardas47198         Pavarde47198        2.08                2.80                
Vardas47344         Pavarde47344        2.08                2.00                
Vardas47594         Pavarde47594        2.08                2.00                
Vardas47635         Pavarde47635        2.08                2.40                
Vardas47969         Pavarde47969        2.08                2.00                
Vardas48092         Pavarde48092        2.08                2.40                
Vardas48487         Pavarde48487        2.08                2.00                
Vardas48596         Pavarde48596        2.08                2.00                
Vardas48672         Pavarde48672        2.08                1.60                
Vardas48794         Pavarde48794        2.08                1.60                
Vardas49012         Pavarde49012        2.08                2.00                
Vardas49033         Pavarde49033        2.08                1.60                
Vardas49037         Pavarde49037        2.08                2.40                
Vardas49392         Pavarde49392        2.08                2.00                
Vardas49476         Pavarde49476        2.08                2.00                
Vardas49693         Pavarde49693        2.08                2.00                
Vardas49872         Pavarde49872        2.08                1.60                
Vardas49943         Pavarde49943        2.08                2.40                
Vardas50225         Pavarde50225        2.08                2.80                
Vardas50805         Pavarde50805        2.08                2.00                
Vardas50811         Pavarde50811        2.08                2.40                
Vardas50849         Pavarde50849        2.08                2.00                
Vardas51777         Pavarde51777        2.08                2.00                
Vardas51789         Pavarde51789        2.08                2.00                
Vardas51891         Pavarde51891        2.08                1.20                
Vardas52013         Pavarde52013        2.08                2.80                
Vardas52275         Pavarde52275        2.08                2.00                
Vardas52353         Pavarde52353        2.08                2.00                
Vardas52601         Pavarde52601        2.08                2.40                
Vardas52732         Pavarde52732        2.08                2.00                
Vardas52866         Pavarde52866        2.08                2.00                
Vardas53188         Pavarde53188        2.08                1.60                
Vardas53293         Pavarde53293        2.08                2.00                
Vardas54190         Pavarde54190        2.08                2.00                
Vardas54394         Pavarde54394        2.08                2.00                
Vardas54505         Pavarde54505        2.08                2.00                
Vardas54778         Pavarde54778        2.08                2.00                
Vardas54930         Pavarde54930        2.08                2.40                
Vardas55099         Pavarde55099        2.08                1.20                
Vardas55239         Pavarde55239        2.08                1.60                
Vardas55243         Pavarde55243        2.08                2.40                
Vardas55347         Pavarde55347        2.08                2.80                
Vardas55549         Pavarde55549        2.08                2.40                
Vardas55552         Pavarde55552        2.08                1.60                
Vardas56009         Pavarde56009        2.08                2.00                
Vardas56277         Pavarde56277        2.08                3.20                
Vardas56287         Pavarde56287        2.08                1.20                
Vardas56371         Pavarde56371        2.08                1.60                
Vardas56390         Pavarde56390        2.08                1.20                
Vardas56616         Pavarde56616        2.08                2.40                
Vardas56829         Pavarde56829        2.08                2.00                
Vardas56855         Pavarde56855        2.08                1.60                
Vardas57172         Pavarde57172        2.08                2.00                
Vardas57490         Pavarde57490        2.08                2.40                
Vardas57611         Pavarde57611        2.08                2.80                
Vardas57728         Pavarde57728        2.08                2.00                
Vardas57777         Pavarde57777        2.08                2.40                
Vardas57841         Pavarde57841        2.08                1.60                
Vardas57965         Pavarde57965        2.08                1.60                
Vardas58015         Pavarde58015        2.08                2.40                
Vardas58437         Pavarde58437        2.08                2.00                
Vardas58495         Pavarde58495        2.08                2.40                
Vardas58714         Pavarde58714        2.08                2.40                
Vardas58719         Pavarde58719        2.08                1.60                
Vardas58758         Pavarde58758        2.08                2.00                
Vardas58829         Pavarde58829        2.08                2.40                
Vardas59293         Pavarde59293        2.08                1.60                
Vardas59446         Pavarde59446        2.08                2.00                
Vardas59585         Pavarde59585        2.08                2.40                
Vardas59630         Pavarde59630        2.08                2.80                
Vardas59682         Pavarde59682        2.08                2.40                
Vardas59850         Pavarde59850        2.08                2.00                
Vardas60241         Pavarde60241        2.08                2.80                
Vardas60448         Pavarde60448        2.08                2.80                
Vardas60649         Pavarde60649        2.08                2.00                
Vardas60825         Pavarde60825        2.08                1.60                
Vardas60986         Pavarde60986        2.08                1.20                
Vardas61295         Pavarde61295        2.08                2.00                
Vardas61399         Pavarde61399        2.08                2.00                
Vardas61446         Pavarde61446        2.08                2.40                
Vardas61466         Pavarde61466        2.08                2.00                
Vardas61778         Pavarde61778        2.08                1.60                
Vardas61971         Pavarde61971        2.08                2.00                
Vardas62448         Pavarde62448        2.08                2.00                
Vardas62637         Pavarde62637        2.08                2.00                
Vardas62806         Pavarde62806        2.08                2.00                
Vardas62942         Pavarde62942        2.08                2.00                
Vardas62977         Pavarde62977        2.08                2.00                
Vardas63015         Pavarde63015        2.08                2.00                
Vardas63135         Pavarde63135        2.08                2.40                
Vardas63183         Pavarde63183        2.08                2.40                
Vardas63293         Pavarde63293        2.08                2.00                
Vardas63910         Pavarde63910        2.08                1.60                
Vardas63942         Pavarde63942        2.08                2.00                
Vardas64074         Pavarde64074        2.08                2.00                
Vardas64130         Pavarde64130        2.08                2.00                
Vardas64316         Pavarde64316        2.08                3.20                
Vardas64344         Pavarde64344        2.08                2.40                
Vardas64401         Pavarde64401        2.08                2.00                
Vardas64444         Pavarde64444        2.08                2.40                
Vardas64507         Pavarde64507        2.08                2.40                
Vardas64673         Pavarde64673        2.08                2.00                
Vardas65118         Pavarde65118        2.08                1.60                
Vardas65474         Pavarde65474        2.08                1.60                
Vardas65486         Pavarde65486        2.08                2.80                
Vardas65943         Pavarde65943        2.08                1.60                
Vardas65966         Pavarde65966        2.08                2.00                
Vardas66654         Pavarde66654        2.08                3.20                
Vardas67070         Pavarde67070        2.08                2.00                
Vardas67095         Pavarde67095        2.08                1.60                
Vardas67286         Pavarde67286        2.08                2.40                
Vardas67803         Pavarde67803        2.08                2.00                
Vardas67807         Pavarde67807        2.08                2.00                
Vardas67819         Pavarde67819        2.08                2.80                
Vardas67983         Pavarde67983        2.08                1.60                
Vardas68222         Pavarde68222        2.08                1.60                
Vardas68647         Pavarde68647        2.08                2.00                
Vardas68893         Pavarde68893        2.08                2.40                
Vardas69087         Pavarde69087        2.08                1.60                
Vardas69220         Pavarde69220        2.08                2.00                
Vardas69446         Pavarde69446        2.08                2.40                
Vardas69607         Pavarde69607        2.08                1.60                
Vardas70051         Pavarde70051        2.08                2.40                
Vardas70762         Pavarde70762        2.08                1.20                
Vardas70826         Pavarde70826        2.08                1.20                
Vardas70907         Pavarde70907        2.08                2.00                
Vardas70988         Pavarde70988        2.08                2.80                
Vardas71027         Pavarde71027        2.08                2.00                
Vardas71109         Pavarde71109        2.08                1.60                
Vardas71267         Pavarde71267        2.08                1.60                
Vardas71530         Pavarde71530        2.08                2.00                
Vardas71651         Pavarde71651        2.08                2.00                
Vardas72046         Pavarde72046        2.08                2.40                
Vardas72153         Pavarde72153        2.08                2.00                
Vardas72267         Pavarde72267        2.08                2.00                
Vardas72604         Pavarde72604        2.08                2.00                
Vardas72953         Pavarde72953        2.08                2.40                
Vardas73053         Pavarde73053        2.08                2.00                
Vardas73091         Pavarde73091        2.08                2.40                
Vardas73329         Pavarde73329        2.08                2.40                
Vardas73428         Pavarde73428        2.08                2.40                
Vardas73480         Pavarde73480        2.08                2.00                
Vardas74716         Pavarde74716        2.08                2.40                
Vardas75135         Pavarde75135        2.08                1.60                
Vardas75151         Pavarde75151        2.08                2.40                
Vardas75337         Pavarde75337        2.08                2.00                
Vardas75670         Pavarde75670        2.08                1.60                
Vardas75698         Pavarde75698        2.08                2.00                
Vardas76055         Pavarde76055        2.08                1.60                
Vardas76072         Pavarde76072        2.08                1.60                
Vardas76084         Pavarde76084        2.08                1.60                
Vardas76190         Pavarde76190        2.08                1.60                
Vardas76249         Pavarde76249        2.08                1.60                
Vardas76388         Pavarde76388        2.08                1.60                
Vardas76442         Pavarde76442        2.08                2.80                
Vardas76443         Pavarde76443        2.08                1.60                
Vardas76482         Pavarde76482        2.08                2.00                
Vardas76537         Pavarde76537        2.08                2.80                
Vardas76619         Pavarde76619        2.08                2.80                
Vardas76624         Pavarde76624        2.08                2.00                
Vardas76959         Pavarde76959        2.08                2.00                
Vardas77427         Pavarde77427        2.08                2.00                
Vardas77535         Pavarde77535        2.08                1.60                
Vardas77811         Pavarde77811        2.08                2.00                
Vardas77942         Pavarde77942        2.08                2.00                
Vardas78061         Pavarde78061        2.08                2.00                
Vardas78139         Pavarde78139        2.08                2.40                
Vardas78167         Pavarde78167        2.08                1.60                
Vardas78221         Pavarde78221        2.08                1.60                
Vardas78309         Pavarde78309        2.08                2.80                
Vardas78378         Pavarde78378        2.08                2.00                
Vardas78492         Pavarde78492        2.08                1.60                
Vardas78507         Pavarde78507        2.08                2.40                
Vardas78715         Pavarde78715        2.08                2.80                
Vardas78816         Pavarde78816        2.08                2.00                
Vardas78828         Pavarde78828        2.08                2.00                
Vardas79029         Pavarde79029        2.08                2.00                
Vardas80164         Pavarde80164        2.08                1.20                
Vardas80432         Pavarde80432        2.08                2.40                
Vardas80480         Pavarde80480        2.08                2.00                
Vardas80721         Pavarde80721        2.08                2.00                
Vardas80896         Pavarde80896        2.08                2.80                
Vardas81081         Pavarde81081        2.08                1.60                
Vardas81415         Pavarde81415        2.08                1.60                
Vardas81426         Pavarde81426        2.08                2.40                
Vardas81537         Pavarde81537        2.08                2.40                
Vardas81631         Pavarde81631        2.08                2.40                
Vardas81786         Pavarde81786        2.08                2.40                
Vardas81995         Pavarde81995        2.08                1.60                
Vardas82050         Pavarde82050        2.08                1.60                
Vardas82271         Pavarde82271        2.08                2.00                
Vardas82405         Pavarde82405        2.08                2.00                
Vardas82753         Pavarde82753        2.08                2.80                
Vardas83125         Pavarde83125        2.08                2.40                
Vardas83404         Pavarde83404        2.08                2.80                
Vardas83411         Pavarde83411        2.08                2.00                
Vardas83437         Pavarde83437        2.08                2.40                
Vardas83522         Pavarde83522        2.08                1.20                
Vardas83685         Pavarde83685        2.08                3.20                
Vardas83768         Pavarde83768        2.08                2.40                
Vardas83966         Pavarde83966        2.08                2.00                
Vardas84268         Pavarde84268        2.08                2.00                
Vardas84392         Pavarde84392        2.08                2.00                
Vardas84477         Pavarde84477        2.08                2.40                
Vardas84935         Pavarde84935        2.08                2.40                
Vardas85294         Pavarde85294        2.08                1.60                
Vardas85347         Pavarde85347        2.08                2.80                
Vardas85349         Pavarde85349        2.08                2.00                
Vardas85722         Pavarde85722        2.08                2.40                
Vardas85727         Pavarde85727        2.08                1.60                
Vardas85847         Pavarde85847        2.08                2.00                
Vardas86729         Pavarde86729        2.08                2.40                
Vardas86820         Pavarde86820        2.08                2.80                
Vardas86994         Pavarde86994        2.08                2.80                
Vardas87210         Pavarde87210        2.08                2.00                
Vardas87338         Pavarde87338        2.08                2.40                
Vardas87713         Pavarde87713        2.08                1.60                
Vardas87741         Pavarde87741        2.08                2.40                
Vardas87931         Pavarde87931        2.08                2.40                
Vardas87996         Pavarde87996        2.08                2.40                
Vardas88121         Pavarde88121        2.08                2.40                
Vardas88202         Pavarde88202        2.08                2.00                
Vardas88373         Pavarde88373        2.08                2.40                
Vardas88530         Pavarde88530        2.08                1.60                
Vardas88548         Pavarde88548        2.08                2.80                
Vardas88928         Pavarde88928        2.08                2.00                
Vardas89257         Pavarde89257        2.08                2.00                
Vardas89262         Pavarde89262        2.08                2.40                
Vardas89377         Pavarde89377        2.08                1.60                
Vardas89577         Pavarde89577        2.08                2.40                
Vardas90118         Pavarde90118        2.08                1.20                
Vardas90204         Pavarde90204        2.08                2.00                
Vardas90302         Pavarde90302        2.08                2.00                
Vardas90764         Pavarde90764        2.08                2.00                
Vardas90902         Pavarde90902        2.08                2.40                
Vardas90973         Pavarde90973        2.08                2.00                
Vardas91111         Pavarde91111        2.08                2.00                
Vardas91503         Pavarde91503        2.08                2.80                
Vardas91886         Pavarde91886        2.08                2.40                
Vardas92112         Pavarde92112        2.08                1.60                
Vardas92190         Pavarde92190        2.08                2.40                
Vardas92518         Pavarde92518        2.08                2.80                
Vardas92535         Pavarde92535        2.08                1.60                
Vardas92693         Pavarde92693        2.08                2.40                
Vardas92822         Pavarde92822        2.08                1.60                
Vardas93222         Pavarde93222        2.08                2.80                
Vardas93227         Pavarde93227        2.08                2.00                
Vardas93260         Pavarde93260        2.08                2.00                
Vardas93282         Pavarde93282        2.08                2.80                
Vardas93413         Pavarde93413        2.08                2.00                
Vardas93537         Pavarde93537        2.08                1.60                
Vardas93634         Pavarde93634        2.08                2.40                
Vardas93729         Pavarde93729        2.08                2.40                
Vardas94415         Pavarde94415        2.08                2.00                
Vardas94902         Pavarde94902        2.08                2.40                
Vardas95072         Pavarde95072        2.08                2.00                
Vardas95111         Pavarde95111        2.08                2.00                
Vardas95142         Pavarde95142        2.08                2.80                
Vardas95146         Pavarde95146        2.08                2.00                
Vardas95152         Pavarde95152        2.08                1.20                
Vardas95185         Pavarde95185        2.08                2.40                
Vardas95297         Pavarde95297        2.08                2.00                
Vardas95329         Pavarde95329        2.08                2.40                
Vardas95425         Pavarde95425        2.08                1.20                
Vardas95563         Pavarde95563        2.08                2.00                
Vardas96124         Pavarde96124        2.08                2.40                
Vardas96163         Pavarde96163        2.08                1.60                
Vardas96456         Pavarde96456        2.08                2.00                
Vardas96603         Pavarde96603        2.08                1.60                
Vardas96988         Pavarde96988        2.08                2.00                
Vardas97063         Pavarde97063        2.08                1.60                
Vardas97197         Pavarde97197        2.08                1.60                
Vardas97362         Pavarde97362        2.08                1.60                
Vardas97388         Pavarde97388        2.08                2.80                
Vardas97468         Pavarde97468        2.08                1.60                
Vardas97572         Pavarde97572        2.08                2.40                
Vardas97795         Pavarde97795        2.08                2.80                
Vardas97871         Pavarde97871        2.08                2.40                
Vardas98459         Pavarde98459        2.08                1.60                
Vardas98488         Pavarde98488        2.08                2.00                
Vardas98637         Pavarde98637        2.08                1.60                
Vardas98653         Pavarde98653        2.08                2.40                
Vardas98867         Pavarde98867        2.08                2.40                
Vardas98883         Pavarde98883        2.08                2.40                
Vardas99126         Pavarde99126        2.08                2.00                
Vardas99355         Pavarde99355        2.08                1.60                
Vardas99379         Pavarde99379        2.08                2.00                
Vardas99915         Pavarde99915        2.08                2.80                
Vardas99934         Pavarde99934        2.08                1.60                
Vardas55            Pavarde55           2.12                1.80                
Vardas127           Pavarde127          2.12                1.80                
Vardas574           Pavarde574          2.12                2.20                
Vardas774           Pavarde774          2.12                1.40                
Vardas858           Pavarde858          2.12                2.20                
Vardas1195          Pavarde1195         2.12                2.20                
Vardas1237          Pavarde1237         2.12                2.60                
Vardas1294          Pavarde1294         2.12                1.40                
Vardas1586          Pavarde1586         2.12                2.60                
Vardas2022          Pavarde2022         2.12                2.20                
Vardas2052          Pavarde2052         2.12                1.40                
Vardas2915          Pavarde2915         2.12                1.80                
Vardas3079          Pavarde3079         2.12                2.20                
Vardas3417          Pavarde3417         2.12                2.20                
Vardas3583          Pavarde3583         2.12                1.80                
Vardas3708          Pavarde3708         2.12                2.20                
Vardas3854          Pavarde3854         2.12                2.20                
Vardas4251          Pavarde4251         2.12                1.80                
Vardas4844          Pavarde4844         2.12                2.20                
Vardas4959          Pavarde4959         2.12                2.60                
Vardas5572          Pavarde5572         2.12                2.20                
Vardas5638          Pavarde5638         2.12                1.80                
Vardas5985          Pavarde5985         2.12                2.20                
Vardas6327          Pavarde6327         2.12                2.20                
Vardas6403          Pavarde6403         2.12                1.80                
Vardas7030          Pavarde7030         2.12                1.80                
Vardas7425          Pavarde7425         2.12                1.80                
Vardas7874          Pavarde7874         2.12                1.80                
Vardas8697          Pavarde8697         2.12                1.40                
Vardas8856          Pavarde8856         2.12                1.40                
Vardas9061          Pavarde9061         2.12                1.80                
Vardas9287          Pavarde9287         2.12                1.40                
Vardas9547          Pavarde9547         2.12                2.20                
Vardas10225         Pavarde10225        2.12                2.20                
Vardas10540         Pavarde10540        2.12                1.80                
Vardas10576         Pavarde10576        2.12                1.40                
Vardas11173         Pavarde11173        2.12                1.80                
Vardas11362         Pavarde11362        2.12                1.80                
Vardas12095         Pavarde12095        2.12                2.20                
Vardas12096         Pavarde12096        2.12                1.80                
Vardas12263         Pavarde12263        2.12                1.80                
Vardas12668         Pavarde12668        2.12                2.20                
Vardas12959         Pavarde12959        2.12                2.20                
Vardas13154         Pavarde13154        2.12                2.20                
Vardas13508         Pavarde13508        2.12                2.20                
Vardas13627         Pavarde13627        2.12                1.80                
Vardas14701         Pavarde14701        2.12                1.80                
Vardas14810         Pavarde14810        2.12                1.80                
Vardas14883         Pavarde14883        2.12                1.80                
Vardas14938         Pavarde14938        2.12                1.80                
Vardas14980         Pavarde14980        2.12                1.80                
Vardas15328         Pavarde15328        2.12                2.20                
Vardas15499         Pavarde15499        2.12                2.20                
Vardas16044         Pavarde16044        2.12                2.20                
Vardas16076         Pavarde16076        2.12                1.40                
Vardas16140         Pavarde16140        2.12                2.60                
Vardas16656         Pavarde16656        2.12                1.80                
Vardas16785         Pavarde16785        2.12                2.20                
Vardas16916         Pavarde16916        2.12                1.80                
Vardas17077         Pavarde17077        2.12                2.20                
Vardas17314         Pavarde17314        2.12                1.40                
Vardas17749         Pavarde17749        2.12                1.80                
Vardas17819         Pavarde17819        2.12                1.80                
Vardas17841         Pavarde17841        2.12                2.20                
Vardas17949         Pavarde17949        2.12                1.40                
Vardas18293         Pavarde18293        2.12                2.60                
Vardas18512         Pavarde18512        2.12                1.40                
Vardas18624         Pavarde18624        2.12                1.80                
Vardas18956         Pavarde18956        2.12                1.00                
Vardas19266         Pavarde19266        2.12                1.80                
Vardas19496         Pavarde19496        2.12                2.20                
Vardas19580         Pavarde19580        2.12                1.80                
Vardas19867         Pavarde19867        2.12                2.20                
Vardas19897         Pavarde19897        2.12                1.00                
Vardas20599         Pavarde20599        2.12                2.20                
Vardas20786         Pavarde20786        2.12                2.20                
Vardas20813         Pavarde20813        2.12                2.60                
Vardas20974         Pavarde20974        2.12                1.80                
Vardas21077         Pavarde21077        2.12                1.40                
Vardas21405         Pavarde21405        2.12                1.80                
Vardas21738         Pavarde21738        2.12                2.20                
Vardas21809         Pavarde21809        2.12                2.20                
Vardas22262         Pavarde22262        2.12                2.20                
Vardas22444         Pavarde22444        2.12                1.80                
Vardas22811         Pavarde22811        2.12                2.20                
Vardas22966         Pavarde22966        2.12                2.60                
Vardas23144         Pavarde23144        2.12                1.80                
Vardas23453         Pavarde23453        2.12                1.80                
Vardas25092         Pavarde25092        2.12                2.20                
Vardas25105         Pavarde25105        2.12                1.80                
Vardas25443         Pavarde25443        2.12                2.20                
Vardas25954         Pavarde25954        2.12                2.20                
Vardas26013         Pavarde26013        2.12                2.20                
Vardas26381         Pavarde26381        2.12                1.40                
Vardas26509         Pavarde26509        2.12                1.40                
Vardas27001         Pavarde27001        2.12                1.80                
Vardas27406         Pavarde27406        2.12                1.40                
Vardas27789         Pavarde27789        2.12                1.40                
Vardas27981         Pavarde27981        2.12                2.60                
Vardas28221         Pavarde28221        2.12                3.00                
Vardas28651         Pavarde28651        2.12                2.20                
Vardas29014         Pavarde29014        2.12                2.60                
Vardas29326         Pavarde29326        2.12                3.00                
Vardas29962         Pavarde29962        2.12                1.80                
Vardas30195         Pavarde30195        2.12                2.20                
Vardas30320         Pavarde30320        2.12                2.20                
Vardas30400         Pavarde30400        2.12                1.80                
Vardas30616         Pavarde30616        2.12                2.60                
Vardas30707         Pavarde30707        2.12                2.20                
Vardas30899         Pavarde30899        2.12                2.60                
Vardas31309         Pavarde31309        2.12                2.20                
Vardas31551         Pavarde31551        2.12                1.80                
Vardas31929         Pavarde31929        2.12                2.20                
Vardas32062         Pavarde32062        2.12                2.20                
Vardas32374         Pavarde32374        2.12                1.80                
Vardas32455         Pavarde32455        2.12                1.80                
Vardas32784         Pavarde32784        2.12                2.60                
Vardas32946         Pavarde32946        2.12                1.80                
Vardas32984         Pavarde32984        2.12                3.00                
Vardas33019         Pavarde33019        2.12                2.60                
Vardas33131         Pavarde33131        2.12                2.60                
Vardas33230         Pavarde33230        2.12                1.80                
Vardas33382         Pavarde33382        2.12                2.20                
Vardas33484         Pavarde33484        2.12                1.80                
Vardas33618         Pavarde33618        2.12                1.80                
Vardas33970         Pavarde33970        2.12                2.20                
Vardas34054         Pavarde34054        2.12                2.20                
Vardas34237         Pavarde34237        2.12                1.40                
Vardas34627         Pavarde34627        2.12                1.40                
Vardas35037         Pavarde35037        2.12                2.20                
Vardas35069         Pavarde35069        2.12                2.20                
Vardas35120         Pavarde35120        2.12                2.20                
Vardas35187         Pavarde35187        2.12                2.20                
Vardas35219         Pavarde35219        2.12                1.40                
Vardas35499         Pavarde35499        2.12                1.80                
Vardas36030         Pavarde36030        2.12                2.20                
Vardas36215         Pavarde36215        2.12                1.40                
Vardas36417         Pavarde36417        2.12                2.60                
Vardas37060         Pavarde37060        2.12                1.80                
Vardas37269         Pavarde37269        2.12                1.80                
Vardas37344         Pavarde37344        2.12                2.20                
Vardas37602         Pavarde37602        2.12                2.20                
Vardas37615         Pavarde37615        2.12                1.00                
Vardas37623         Pavarde37623        2.12                2.20                
Vardas37840         Pavarde37840        2.12                1.80                
Vardas38228         Pavarde38228        2.12                1.80                
Vardas38297         Pavarde38297        2.12                1.80                
Vardas38468         Pavarde38468        2.12                1.80                
Vardas39115         Pavarde39115        2.12                2.20                
Vardas39371         Pavarde39371        2.12                2.20                
Vardas39804         Pavarde39804        2.12                1.80                
Vardas40004         Pavarde40004        2.12                1.00                
Vardas40201         Pavarde40201        2.12                1.80                
Vardas40242         Pavarde40242        2.12                1.80                
Vardas40318         Pavarde40318        2.12                1.80                
Vardas40878         Pavarde40878        2.12                2.60                
Vardas40984         Pavarde40984        2.12                2.20                
Vardas41056         Pavarde41056        2.12                2.60                
Vardas41195         Pavarde41195        2.12                1.80                
Vardas41445         Pavarde41445        2.12                2.20                
Vardas41513         Pavarde41513        2.12                2.20                
Vardas41640         Pavarde41640        2.12                2.20                
Vardas42272         Pavarde42272        2.12                1.40                
Vardas42354         Pavarde42354        2.12                2.20                
Vardas42533         Pavarde42533        2.12                1.40                
Vardas42537         Pavarde42537        2.12                2.20                
Vardas42636         Pavarde42636        2.12                2.20                
Vardas42682         Pavarde42682        2.12                1.80                
Vardas42861         Pavarde42861        2.12                1.80                
Vardas42903         Pavarde42903        2.12                1.80                
Vardas43356         Pavarde43356        2.12                2.20                
Vardas43434         Pavarde43434        2.12                1.80                
Vardas43552         Pavarde43552        2.12                1.40                
Vardas43769         Pavarde43769        2.12                1.40                
Vardas44196         Pavarde44196        2.12                2.60                
Vardas44571         Pavarde44571        2.12                1.80                
Vardas44622         Pavarde44622        2.12                1.40                
Vardas45894         Pavarde45894        2.12                1.80                
Vardas46242         Pavarde46242        2.12                1.40                
Vardas46399         Pavarde46399        2.12                2.60                
Vardas46507         Pavarde46507        2.12                1.80                
Vardas46677         Pavarde46677        2.12                2.60                
Vardas46796         Pavarde46796        2.12                1.00                
Vardas47011         Pavarde47011        2.12                1.80                
Vardas47041         Pavarde47041        2.12                2.20                
Vardas47434         Pavarde47434        2.12                2.20                
Vardas47868         Pavarde47868        2.12                1.80                
Vardas47988         Pavarde47988        2.12                1.40                
Vardas48675         Pavarde48675        2.12                1.80                
Vardas49368         Pavarde49368        2.12                2.20                
Vardas49601         Pavarde49601        2.12                2.20                
Vardas49717         Pavarde49717        2.12                1.80                
Vardas50030         Pavarde50030        2.12                2.20                
Vardas50147         Pavarde50147        2.12                1.80                
Vardas50203         Pavarde50203        2.12                1.80                
Vardas50320         Pavarde50320        2.12                2.20                
Vardas50343         Pavarde50343        2.12                1.80                
Vardas50461         Pavarde50461        2.12                1.80                
Vardas50536         Pavarde50536        2.12                1.40                
Vardas50598         Pavarde50598        2.12                1.40                
Vardas50600         Pavarde50600        2.12                1.80                
Vardas50616         Pavarde50616        2.12                1.00                
Vardas50738         Pavarde50738        2.12                2.20                
Vardas50783         Pavarde50783        2.12                2.20                
Vardas51468         Pavarde51468        2.12                1.80                
Vardas51705         Pavarde51705        2.12                2.20                
Vardas51727         Pavarde51727        2.12                1.80                
Vardas51988         Pavarde51988        2.12                1.80                
Vardas52141         Pavarde52141        2.12                1.80                
Vardas53272         Pavarde53272        2.12                1.80                
Vardas53852         Pavarde53852        2.12                2.20                
Vardas54260         Pavarde54260        2.12                1.80                
Vardas54336         Pavarde54336        2.12                1.80                
Vardas54417         Pavarde54417        2.12                2.20                
Vardas54972         Pavarde54972        2.12                2.20                
Vardas55834         Pavarde55834        2.12                1.80                
Vardas56612         Pavarde56612        2.12                1.40                
Vardas57766         Pavarde57766        2.12                1.80                
Vardas58189         Pavarde58189        2.12                1.80                
Vardas58217         Pavarde58217        2.12                2.20                
Vardas58363         Pavarde58363        2.12                2.60                
Vardas58934         Pavarde58934        2.12                1.40                
Vardas59364         Pavarde59364        2.12                2.20                
Vardas59409         Pavarde59409        2.12                2.60                
Vardas59413         Pavarde59413        2.12                1.00                
Vardas59464         Pavarde59464        2.12                2.20                
Vardas59504         Pavarde59504        2.12                1.80                
Vardas59568         Pavarde59568        2.12                1.80                
Vardas59714         Pavarde59714        2.12                1.80                
Vardas59887         Pavarde59887        2.12                2.20                
Vardas60061         Pavarde60061        2.12                2.20                
Vardas60470         Pavarde60470        2.12                2.20                
Vardas60636         Pavarde60636        2.12                2.20                
Vardas60886         Pavarde60886        2.12                2.20                
Vardas61201         Pavarde61201        2.12                1.80                
Vardas62348         Pavarde62348        2.12                1.00                
Vardas62481         Pavarde62481        2.12                1.40                
Vardas62819         Pavarde62819        2.12                1.80                
Vardas62892         Pavarde62892        2.12                2.20                
Vardas62934         Pavarde62934        2.12                2.20                
Vardas63328         Pavarde63328        2.12                2.20                
Vardas63397         Pavarde63397        2.12                2.20                
Vardas63477         Pavarde63477        2.12                2.20                
Vardas63853         Pavarde63853        2.12                1.80                
Vardas63985         Pavarde63985        2.12                1.40                
Vardas64625         Pavarde64625        2.12                1.40                
Vardas65028         Pavarde65028        2.12                2.60                
Vardas65632         Pavarde65632        2.12                1.80                
Vardas65714         Pavarde65714        2.12                2.20                
Vardas65773         Pavarde65773        2.12                1.40                
Vardas66334         Pavarde66334        2.12                1.80                
Vardas66559         Pavarde66559        2.12                2.60                
Vardas66701         Pavarde66701        2.12                2.20                
Vardas66796         Pavarde66796        2.12                1.80                
Vardas66868         Pavarde66868        2.12                1.80                
Vardas67126         Pavarde67126        2.12                2.20                
Vardas68326         Pavarde68326        2.12                2.20                
Vardas68741         Pavarde68741        2.12                2.20                
Vardas68895         Pavarde68895        2.12                1.80                
Vardas69145         Pavarde69145        2.12                1.40                
Vardas69279         Pavarde69279        2.12                1.80                
Vardas69360         Pavarde69360        2.12                2.60                
Vardas69420         Pavarde69420        2.12                1.80                
Vardas69695         Pavarde69695        2.12                1.80                
