Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
Vardas34015         Pavarde34015        5.80                5.80                
Vardas34062         Pavarde34062        5.80                5.40                
Vardas34311         Pavarde34311        5.80                6.60                
Vardas34313         Pavarde34313        5.80                6.20                
Vardas34570         Pavarde34570        5.80                6.20                
Vardas34701         Pavarde34701        5.80                6.20                
Vardas34764         Pavarde34764        5.80                5.40                
Vardas34807         Pavarde34807        5.80                5.00                
Vardas34837         Pavarde34837        5.80                5.00                
Vardas34998         Pavarde34998        5.80                5.40                
Vardas35072         Pavarde35072        5.80                6.20                
Vardas35148         Pavarde35148        5.80                6.20                
Vardas35268         Pavarde35268        5.80                5.40                
Vardas35675         Pavarde35675        5.80                5.00                
Vardas35885         Pavarde35885        5.80                5.40                
Vardas35925         Pavarde35925        5.80                4.60                
Vardas36267         Pavarde36267        5.80                5.40                
Vardas36378         Pavarde36378        5.80                6.60                
Vardas36593         Pavarde36593        5.80                6.20                
Vardas36797         Pavarde36797        5.80                6.20                
Vardas36967         Pavarde36967        5.80                5.80                
Vardas36978         Pavarde36978        5.80                5.80                
Vardas37098         Pavarde37098        5.80                5.80                
Vardas37195         Pavarde37195        5.80                6.20                
Vardas37374         Pavarde37374        5.80                5.80                
Vardas37417         Pavarde37417        5.80                5.80                
Vardas37686         Pavarde37686        5.80                5.40                
Vardas37904         Pavarde37904        5.80                5.80                
Vardas38115         Pavarde38115        5.80                5.40                
Vardas38175         Pavarde38175        5.80                5.40                
Vardas38261         Pavarde38261        5.80                5.80                
Vardas38298         Pavarde38298        5.80                5.80                
Vardas38436         Pavarde38436        5.80                5.40                
Vardas38667         Pavarde38667        5.80                5.40                
Vardas38718         Pavarde38718        5.80                6.60                
Vardas38846         Pavarde38846        5.80                5.40                
Vardas39029         Pavarde39029        5.80                5.40                
Vardas39303         Pavarde39303        5.80                5.40                
Vardas39475         Pavarde39475        5.80                5.00                
Vardas39504         Pavarde39504        5.80                5.40                
Vardas39587         Pavarde39587        5.80                5.80                
Vardas39907         Pavarde39907        5.80                6.20                
Vardas40108         Pavarde40108        5.80                5.40                
Vardas40198         Pavarde40198        5.80                5.80                
Vardas40204         Pavarde40204        5.80                5.80                
Vardas40492         Pavarde40492        5.80                6.20                
Vardas40544         Pavarde40544        5.80                5.80                
Vardas40548         Pavarde40548        5.80                6.20                
Vardas40691         Pavarde40691        5.80                5.80                
Vardas40709         Pavarde40709        5.80                5.40                
Vardas40861         Pavarde40861        5.80                5.80                
Vardas41117         Pavarde41117        5.80                6.20                
Vardas41239         Pavarde41239        5.80                5.80                
Vardas41244         Pavarde41244        5.80                6.20                
Vardas41363         Pavarde41363        5.80                6.20                
Vardas41446         Pavarde41446        5.80                5.40                
Vardas41470         Pavarde41470        5.80                6.20                
Vardas41584         Pavarde41584        5.80                5.80                
Vardas41671         Pavarde41671        5.80                5.00                
Vardas42075         Pavarde42075        5.80                6.20                
Vardas42152         Pavarde42152        5.80                5.40                
Vardas42439         Pavarde42439        5.80                6.20                
Vardas42444         Pavarde42444        5.80                6.20                
Vardas42481         Pavarde42481        5.80                5.40                
Vardas42616         Pavarde42616        5.80                5.80                
Vardas42832         Pavarde42832        5.80                6.20                
Vardas42864         Pavarde42864        5.80                5.80                
Vardas42923         Pavarde42923        5.80                5.80                
Vardas42964         Pavarde42964        5.80                6.20                
Vardas43273         Pavarde43273        5.80                5.40                
Vardas43278         Pavarde43278        5.80                5.40                
Vardas43614         Pavarde43614        5.80                6.20                
Vardas43825         Pavarde43825        5.80                6.20                
Vardas43956         Pavarde43956        5.80                5.80                
Vardas44108         Pavarde44108        5.80                5.80                
Vardas44155         Pavarde44155        5.80                5.80                
Vardas44191         Pavarde44191        5.80                5.80                
Vardas44371         Pavarde44371        5.80                5.40                
Vardas44406         Pavarde44406        5.80                5.40                
Vardas44619         Pavarde44619        5.80                5.80                
Vardas44756         Pavarde44756        5.80                6.20                
Vardas44918         Pavarde44918        5.80                6.60                
Vardas45150         Pavarde45150        5.80                5.00                
Vardas45503         Pavarde45503        5.80                5.80                
Vardas45607         Pavarde45607        5.80                6.20                
Vardas45693         Pavarde45693        5.80                5.40                
Vardas46151         Pavarde46151        5.80                5.80                
Vardas46200         Pavarde46200        5.80                6.20                
Vardas46395         Pavarde46395        5.80                7.00                
Vardas46415         Pavarde46415        5.80                6.20                
Vardas46470         Pavarde46470        5.80                6.20                
Vardas46693         Pavarde46693        5.80                6.20                
Vardas46968         Pavarde46968        5.80                5.00                
Vardas46976         Pavarde46976        5.80                6.20                
Vardas46995         Pavarde46995        5.80                6.20                
Vardas47071         Pavarde47071        5.80                6.60                
Vardas47091         Pavarde47091        5.80                6.20                
Vardas47284         Pavarde47284        5.80                5.40                
Vardas47397         Pavarde47397        5.80                6.60                
Vardas47408         Pavarde47408        5.80                5.40                
Vardas47474         Pavarde47474        5.80                5.80                
Vardas47514         Pavarde47514        5.80                5.40                
Vardas47543         Pavarde47543        5.80                5.80                
Vardas47561         Pavarde47561        5.80                5.80                
Vardas47659         Pavarde47659        5.80                5.80                
Vardas47713         Pavarde47713        5.80                5.80                
Vardas47746         Pavarde47746        5.80                5.80                
Vardas47927         Pavarde47927        5.80                5.00                
Vardas47940         Pavarde47940        5.80                5.00                
Vardas48057         Pavarde48057        5.80                6.20                
Vardas48130         Pavarde48130        5.80                5.80                
Vardas48805         Pavarde48805        5.80                5.00                
Vardas48878         Pavarde48878        5.80                5.80                
Vardas49291         Pavarde49291        5.80                5.40                
Vardas49314         Pavarde49314        5.80                5.80                
Vardas49707         Pavarde49707        5.80                5.40                
Vardas49924         Pavarde49924        5.80                6.60                
Vardas50039         Pavarde50039        5.80                6.20                
Vardas50161         Pavarde50161        5.80                5.80                
Vardas50340         Pavarde50340        5.80                5.40                
Vardas50468         Pavarde50468        5.80                5.80                
Vardas50474         Pavarde50474        5.80                6.20                
Vardas50608         Pavarde50608        5.80                5.40                
Vardas50644         Pavarde50644        5.80                6.20                
Vardas50725         Pavarde50725        5.80                6.20                
Vardas50768         Pavarde50768        5.80                5.40                
Vardas51034         Pavarde51034        5.80                6.20                
Vardas51128         Pavarde51128        5.80                5.80                
Vardas51286         Pavarde51286        5.80                6.20                
Vardas51504         Pavarde51504        5.80                5.80                
Vardas52173         Pavarde52173        5.80                5.80                
Vardas52320         Pavarde52320        5.80                5.40                
Vardas52913         Pavarde52913        5.80                5.40                
Vardas53102         Pavarde53102        5.80                5.80                
Vardas53427         Pavarde53427        5.80                5.80                
Vardas53483         Pavarde53483        5.80                5.80                
Vardas53496         Pavarde53496        5.80                5.80                
Vardas53543         Pavarde53543        5.80                6.20                
Vardas53568         Pavarde53568        5.80                6.20                
Vardas53708         Pavarde53708        5.80                6.60                
Vardas53891         Pavarde53891        5.80                6.20                
Vardas53961         Pavarde53961        5.80                5.80                
Vardas54217         Pavarde54217        5.80                6.20                
Vardas54229         Pavarde54229        5.80                5.00                
Vardas54251         Pavarde54251        5.80                5.00                
Vardas54299         Pavarde54299        5.80                6.20                
Vardas54662         Pavarde54662        5.80                5.80                
Vardas54924         Pavarde54924        5.80                5.80                
Vardas55102         Pavarde55102        5.80                6.20                
Vardas55139         Pavarde55139        5.80                5.40                
Vardas55344         Pavarde55344        5.80                5.80                
Vardas55514         Pavarde55514        5.80                5.80                
Vardas55523         Pavarde55523        5.80                6.20                
Vardas55564         Pavarde55564        5.80                5.80                
Vardas55683         Pavarde55683        5.80                6.20                
Vardas55735         Pavarde55735        5.80                6.20                
Vardas55878         Pavarde55878        5.80                6.20                
Vardas55992         Pavarde55992        5.80                5.40                
Vardas56028         Pavarde56028        5.80                6.20                
Vardas56039         Pavarde56039        5.80                5.80                
Vardas56187         Pavarde56187        5.80                5.40                
Vardas56423         Pavarde56423        5.80                5.40                
Vardas56456         Pavarde56456        5.80                5.00                
Vardas56689         Pavarde56689        5.80                5.40                
Vardas57087         Pavarde57087        5.80                5.00                
Vardas57216         Pavarde57216        5.80                6.20                
Vardas57264         Pavarde57264        5.80                6.20                
Vardas57315         Pavarde57315        5.80                5.80                
Vardas57496         Pavarde57496        5.80                6.20                
Vardas57678         Pavarde57678        5.80                6.60                
Vardas57815         Pavarde57815        5.80                6.60                
Vardas57857         Pavarde57857        5.80                5.80                
Vardas57872         Pavarde57872        5.80                5.80                
Vardas57936         Pavarde57936        5.80                6.20                
Vardas58422         Pavarde58422        5.80                5.00                
Vardas58629         Pavarde58629        5.80                5.80                
Vardas58721         Pavarde58721        5.80                6.60                
Vardas59006         Pavarde59006        5.80                6.20                
Vardas59077         Pavarde59077        5.80                6.60                
Vardas59131         Pavarde59131        5.80                5.80                
Vardas59541         Pavarde59541        5.80                5.40                
Vardas59622         Pavarde59622        5.80                5.80                
Vardas59818         Pavarde59818        5.80                6.60                
Vardas59957         Pavarde59957        5.80                5.40                
Vardas59974         Pavarde59974        5.80                5.40                
Vardas60190         Pavarde60190        5.80                5.80                
Vardas60449         Pavarde60449        5.80                5.80                
Vardas60464         Pavarde60464        5.80                5.00                
Vardas60685         Pavarde60685        5.80                5.40                
Vardas60824         Pavarde60824        5.80                5.40                
Vardas60932         Pavarde60932        5.80                5.40                
Vardas61269         Pavarde61269        5.80                6.20                
Vardas61338         Pavarde61338        5.80                5.80                
Vardas61391         Pavarde61391        5.80                5.40                
Vardas61414         Pavarde61414        5.80                6.20                
Vardas61427         Pavarde61427        5.80                5.80                
Vardas61825         Pavarde61825        5.80                6.20                
Vardas62046         Pavarde62046        5.80                6.20                
Vardas62326         Pavarde62326        5.80                5.40                
Vardas62594         Pavarde62594        5.80                5.40                
Vardas63021         Pavarde63021        5.80                6.20                
Vardas63386         Pavarde63386        5.80                5.80                
Vardas63453         Pavarde63453        5.80                5.80                
Vardas63510         Pavarde63510        5.80                6.60                
Vardas63518         Pavarde63518        5.80                5.80                
Vardas63849         Pavarde63849        5.80                5.40                
Vardas63911         Pavarde63911        5.80                4.60                
Vardas64141         Pavarde64141        5.80                6.20                
Vardas64251         Pavarde64251        5.80                5.40                
Vardas64447         Pavarde64447        5.80                6.20                
Vardas64565         Pavarde64565        5.80                6.20                
Vardas64577         Pavarde64577        5.80                5.80                
Vardas64607         Pavarde64607        5.80                5.80                
Vardas64618         Pavarde64618        5.80                6.20                
Vardas65147         Pavarde65147        5.80                5.80                
Vardas65576         Pavarde65576        5.80                5.40                
Vardas65604         Pavarde65604        5.80                5.80                
Vardas65690         Pavarde65690        5.80                6.20                
Vardas65737         Pavarde65737        5.80                5.40                
Vardas65771         Pavarde65771        5.80                6.60                
Vardas65803         Pavarde65803        5.80                5.80                
Vardas65942         Pavarde65942        5.80                5.40                
Vardas66310         Pavarde66310        5.80                5.80                
Vardas66407         Pavarde66407        5.80                5.80                
Vardas66459         Pavarde66459        5.80                6.20                
Vardas66465         Pavarde66465        5.80                5.40                
Vardas66468         Pavarde66468        5.80                5.40                
Vardas66756         Pavarde66756        5.80                5.80                
Vardas67220         Pavarde67220        5.80                6.20                
Vardas67287         Pavarde67287        5.80                6.60                
Vardas67368         Pavarde67368        5.80                6.20                
Vardas67478         Pavarde67478        5.80                5.80                
Vardas67492         Pavarde67492        5.80                5.80                
Vardas67658         Pavarde67658        5.80                5.80                
Vardas67685         Pavarde67685        5.80                5.80                
Vardas67876         Pavarde67876        5.80                5.80                
Vardas68473         Pavarde68473        5.80                5.40                
Vardas68580         Pavarde68580        5.80                5.80                
Vardas68784         Pavarde68784        5.80                6.20                
Vardas68786         Pavarde68786        5.80                5.40                
Vardas68808         Pavarde68808        5.80                5.00                
Vardas68871         Pavarde68871        5.80                5.00                
Vardas69052         Pavarde69052        5.80                5.80                
Vardas69428         Pavarde69428        5.80                5.40                
Vardas69571         Pavarde69571        5.80                5.40                
Vardas69619         Pavarde69619        5.80                6.20                
Vardas69631         Pavarde69631        5.80                5.40                
Vardas69640         Pavarde69640        5.80                5.40                
Vardas69708         Pavarde69708        5.80                6.20                
Vardas69745         Pavarde69745        5.80                4.60                
Vardas69897         Pavarde69897        5.80                5.40                
Vardas70122         Pavarde70122        5.80                5.00                
Vardas70276         Pavarde70276        5.80                6.60                
Vardas70419         Pavarde70419        5.80                6.20                
Vardas70423         Pavarde70423        5.80                4.60                
Vardas70690         Pavarde70690        5.80                5.80                
Vardas71232         Pavarde71232        5.80                6.20                
Vardas71260         Pavarde71260        5.80                5.80                
Vardas71332         Pavarde71332        5.80                6.20                
Vardas71570         Pavarde71570        5.80                5.80                
Vardas71742         Pavarde71742        5.80                5.40                
Vardas71959         Pavarde71959        5.80                5.80                
Vardas72056         Pavarde72056        5.80                5.80                
Vardas72074         Pavarde72074        5.80                5.00                
Vardas72448         Pavarde72448        5.80                5.00                
Vardas72667         Pavarde72667        5.80                6.20                
Vardas72715         Pavarde72715        5.80                6.20                
Vardas72716         Pavarde72716        5.80                6.20                
Vardas72776         Pavarde72776        5.80                5.40                
Vardas73058         Pavarde73058        5.80                5.40                
Vardas73103         Pavarde73103        5.80                6.20                
Vardas73313         Pavarde73313        5.80                5.00                
Vardas73357         Pavarde73357        5.80                6.20                
Vardas73532         Pavarde73532        5.80                5.00                
Vardas73545         Pavarde73545        5.80                6.20                
Vardas73607         Pavarde73607        5.80                5.80                
Vardas73751         Pavarde73751        5.80                5.80                
Vardas73791         Pavarde73791        5.80                5.80                
Vardas74173         Pavarde74173        5.80                5.80                
Vardas74178         Pavarde74178        5.80                5.40                
Vardas74397         Pavarde74397        5.80                5.40                
Vardas74520         Pavarde74520        5.80                5.80                
Vardas74991         Pavarde74991        5.80                5.80                
Vardas75426         Pavarde75426        5.80                5.40                
Vardas75462         Pavarde75462        5.80                5.80                
Vardas75465         Pavarde75465        5.80                5.80                
Vardas75502         Pavarde75502        5.80                5.80                
Vardas75589         Pavarde75589        5.80                5.80                
Vardas75946         Pavarde75946        5.80                5.80                
Vardas76514         Pavarde76514        5.80                6.20                
Vardas76689         Pavarde76689        5.80                6.20                
Vardas77137         Pavarde77137        5.80                6.60                
Vardas77362         Pavarde77362        5.80                6.60                
Vardas77451         Pavarde77451        5.80                5.40                
Vardas77457         Pavarde77457        5.80                5.40                
Vardas77468         Pavarde77468        5.80                6.20                
Vardas77507         Pavarde77507        5.80                6.20                
Vardas77577         Pavarde77577        5.80                5.80                
Vardas77647         Pavarde77647        5.80                5.80                
Vardas77760         Pavarde77760        5.80                5.40                
Vardas77951         Pavarde77951        5.80                5.80                
Vardas78515         Pavarde78515        5.80                5.40                
Vardas78600         Pavarde78600        5.80                5.80                
Vardas78660         Pavarde78660        5.80                6.20                
Vardas78902         Pavarde78902        5.80                6.20                
Vardas79156         Pavarde79156        5.80                6.20                
Vardas79337         Pavarde79337        5.80                5.80                
Vardas79339         Pavarde79339        5.80                5.80                
Vardas79427         Pavarde79427        5.80                5.40                
Vardas79688         Pavarde79688        5.80                5.40                
Vardas79766         Pavarde79766        5.80                5.80                
Vardas79773         Pavarde79773        5.80                5.00                
Vardas79777         Pavarde79777        5.80                6.60                
Vardas79814         Pavarde79814        5.80                5.80                
Vardas79947         Pavarde79947        5.80                5.40                
Vardas80268         Pavarde80268        5.80                6.20                
Vardas80404         Pavarde80404        5.80                5.80                
Vardas80578         Pavarde80578        5.80                5.80                
Vardas80667         Pavarde80667        5.80                6.20                
Vardas80690         Pavarde80690        5.80                6.20                
Vardas80832         Pavarde80832        5.80                5.40                
Vardas80967         Pavarde80967        5.80                6.20                
Vardas81749         Pavarde81749        5.80                5.80                
Vardas81759         Pavarde81759        5.80                5.00                
Vardas81797         Pavarde81797        5.80                5.40                
Vardas81837         Pavarde81837        5.80                5.80                
Vardas81838         Pavarde81838        5.80                6.20                
Vardas82108         Pavarde82108        5.80                5.40                
Vardas82319         Pavarde82319        5.80                6.20                
Vardas82356         Pavarde82356        5.80                5.00                
Vardas82544         Pavarde82544        5.80                5.80                
Vardas82546         Pavarde82546        5.80                5.40                
Vardas82807         Pavarde82807        5.80                5.40                
Vardas82915         Pavarde82915        5.80                6.20                
Vardas82987         Pavarde82987        5.80                5.80                
Vardas83004         Pavarde83004        5.80                5.40                
Vardas83284         Pavarde83284        5.80                6.20                
Vardas83291         Pavarde83291        5.80                6.20                
Vardas83534         Pavarde83534        5.80                6.20                
Vardas83563         Pavarde83563        5.80                5.80                
Vardas83599         Pavarde83599        5.80                5.00                
Vardas83819         Pavarde83819        5.80                6.20                
Vardas84150         Pavarde84150        5.80                5.40                
Vardas84217         Pavarde84217        5.80                5.40                
Vardas84341         Pavarde84341        5.80                5.80                
Vardas84696         Pavarde84696        5.80                5.80                
Vardas84753         Pavarde84753        5.80                6.20                
Vardas85117         Pavarde85117        5.80                5.80                
Vardas85221         Pavarde85221        5.80                6.20                
Vardas85721         Pavarde85721        5.80                6.20                
Vardas85748         Pavarde85748        5.80                5.40                
Vardas85841         Pavarde85841        5.80                5.40                
Vardas85862         Pavarde85862        5.80                6.20                
Vardas85918         Pavarde85918        5.80                5.40                
Vardas85928         Pavarde85928        5.80                5.40                
Vardas86023         Pavarde86023        5.80                5.00                
Vardas86405         Pavarde86405        5.80                5.40                
Vardas86562         Pavarde86562        5.80                5.80                
Vardas86740         Pavarde86740        5.80                5.80                
Vardas86752         Pavarde86752        5.80                5.40                
Vardas86816         Pavarde86816        5.80                5.00                
Vardas86988         Pavarde86988        5.80                6.20                
Vardas87113         Pavarde87113        5.80                6.20                
Vardas87151         Pavarde87151        5.80                5.40                
Vardas87534         Pavarde87534        5.80                5.40                
Vardas87646         Pavarde87646        5.80                5.40                
Vardas87808         Pavarde87808        5.80                5.00                
Vardas87841         Pavarde87841        5.80                5.80                
Vardas87879         Pavarde87879        5.80                5.40                
Vardas88102         Pavarde88102        5.80                5.80                
Vardas88130         Pavarde88130        5.80                5.00                
Vardas88303         Pavarde88303        5.80                5.00                
Vardas88996         Pavarde88996        5.80                7.00                
Vardas89045         Pavarde89045        5.80                5.80                
Vardas89066         Pavarde89066        5.80                5.40                
Vardas89158         Pavarde89158        5.80                6.20                
Vardas89423         Pavarde89423        5.80                5.40                
Vardas89538         Pavarde89538        5.80                5.40                
Vardas89747         Pavarde89747        5.80                5.80                
Vardas89748         Pavarde89748        5.80                5.80                
Vardas89840         Pavarde89840        5.80                5.40                
Vardas90135         Pavarde90135        5.80                5.40                
Vardas90345         Pavarde90345        5.80                5.00                
Vardas90399         Pavarde90399        5.80                6.20                
Vardas90634         Pavarde90634        5.80                6.20                
Vardas90767         Pavarde90767        5.80                5.80                
Vardas91088         Pavarde91088        5.80                5.80                
Vardas91376         Pavarde91376        5.80                5.80                
Vardas91505         Pavarde91505        5.80                5.80                
Vardas91576         Pavarde91576        5.80                5.40                
Vardas91705         Pavarde91705        5.80                6.20                
Vardas91792         Pavarde91792        5.80                5.40                
Vardas91958         Pavarde91958        5.80                5.80                
Vardas92026         Pavarde92026        5.80                5.80                
Vardas92162         Pavarde92162        5.80                5.40                
Vardas92192         Pavarde92192        5.80                5.80                
Vardas92444         Pavarde92444        5.80                6.20                
Vardas92520         Pavarde92520        5.80                5.40                
Vardas92667         Pavarde92667        5.80                5.80                
Vardas92892         Pavarde92892        5.80                5.80                
Vardas93002         Pavarde93002        5.80                4.60                
Vardas93216         Pavarde93216        5.80                5.40                
Vardas93273         Pavarde93273        5.80                5.80                
Vardas93789         Pavarde93789        5.80                5.80                
Vardas93964         Pavarde93964        5.80                6.20                
Vardas94088         Pavarde94088        5.80                5.80                
Vardas94145         Pavarde94145        5.80                5.80                
Vardas94449         Pavarde94449        5.80                5.00                
Vardas94901         Pavarde94901        5.80                5.80                
Vardas94969         Pavarde94969        5.80                4.60                
Vardas95077         Pavarde95077        5.80                5.00                
Vardas95197         Pavarde95197        5.80                5.40                
Vardas95284         Pavarde95284        5.80                6.20                
Vardas95285         Pavarde95285        5.80                5.40                
Vardas95844         Pavarde95844        5.80                5.80                
Vardas95986         Pavarde95986        5.80                6.20                
Vardas96045         Pavarde96045        5.80                5.40                
Vardas96154         Pavarde96154        5.80                5.80                
Vardas96414         Pavarde96414        5.80                5.40                
Vardas96491         Pavarde96491        5.80                5.00                
Vardas96521         Pavarde96521        5.80                5.80                
Vardas96703         Pavarde96703        5.80                7.00                
Vardas96987         Pavarde96987        5.80                5.80                
Vardas97147         Pavarde97147        5.80                6.20                
Vardas97308         Pavarde97308        5.80                6.20                
Vardas97310         Pavarde97310        5.80                5.80                
Vardas97762         Pavarde97762        5.80                5.80                
Vardas97810         Pavarde97810        5.80                5.80                
Vardas97926         Pavarde97926        5.80                5.00                
Vardas97980         Pavarde97980        5.80                5.80                
Vardas98079         Pavarde98079        5.80                5.40                
Vardas98517         Pavarde98517        5.80                5.80                
Vardas98645         Pavarde98645        5.80                5.80                
Vardas98894         Pavarde98894        5.80                4.60                
Vardas99007         Pavarde99007        5.80                5.80                
Vardas99101         Pavarde99101        5.80                6.20                
Vardas99153         Pavarde99153        5.80                5.40                
Vardas99346         Pavarde99346        5.80                6.20                
Vardas99808         Pavarde99808        5.80                4.60                
Vardas99838         Pavarde99838        5.80                5.40                
Vardas155           Pavarde155          5.84                6.40                
Vardas213           Pavarde213          5.84                6.00                
Vardas246           Pavarde246          5.84                5.20                
Vardas682           Pavarde682          5.84                6.00                
Vardas762           Pavarde762          5.84                6.00                
Vardas835           Pavarde835          5.84                6.40                
Vardas1276          Pavarde1276         5.84                6.00                
Vardas1410          Pavarde1410         5.84                6.40                
Vardas1681          Pavarde1681         5.84                6.00                
Vardas1733          Pavarde1733         5.84                5.60                
Vardas1756          Pavarde1756         5.84                5.60                
Vardas1768          Pavarde1768         5.84                6.00                
Vardas1898          Pavarde1898         5.84                6.80                
Vardas1946          Pavarde1946         5.84                5.60                
Vardas2142          Pavarde2142         5.84                5.60                
Vardas2187          Pavarde2187         5.84                6.00                
Vardas2276          Pavarde2276         5.84                6.40                
Vardas2371          Pavarde2371         5.84                5.60                
Vardas2528          Pavarde2528         5.84                6.00                
Vardas2591          Pavarde2591         5.84                6.40                
Vardas2603          Pavarde2603         5.84                5.60                
Vardas2671          Pavarde2671         5.84                5.20                
Vardas2842          Pavarde2842         5.84                6.00                
Vardas3179          Pavarde3179         5.84                6.40                
Vardas3480          Pavarde3480         5.84                5.60                
Vardas3499          Pavarde3499         5.84                5.20                
Vardas3610          Pavarde3610         5.84                6.80                
Vardas3686          Pavarde3686         5.84                5.20                
Vardas3700          Pavarde3700         5.84                5.60                
Vardas4028          Pavarde4028         5.84                5.20                
Vardas4770          Pavarde4770         5.84                5.20                
Vardas4812          Pavarde4812         5.84                5.60                
Vardas4944          Pavarde4944         5.84                6.80                
Vardas5008          Pavarde5008         5.84                5.20                
Vardas5013          Pavarde5013         5.84                6.00                
Vardas5065          Pavarde5065         5.84                6.40                
Vardas5074          Pavarde5074         5.84                5.60                
Vardas5183          Pavarde5183         5.84                6.00                
Vardas5245          Pavarde5245         5.84                6.40                
Vardas5333          Pavarde5333         5.84                6.40                
Vardas5615          Pavarde5615         5.84                6.00                
Vardas5630          Pavarde5630         5.84                5.60                
Vardas6457          Pavarde6457         5.84                6.40                
Vardas6496          Pavarde6496         5.84                6.40                
Vardas6517          Pavarde6517         5.84                5.20                
Vardas6637          Pavarde6637         5.84                5.20                
Vardas7067          Pavarde7067         5.84                6.80                
Vardas7129          Pavarde7129         5.84                5.60                
Vardas7499          Pavarde7499         5.84                5.60                
Vardas7599          Pavarde7599         5.84                6.80                
Vardas7600          Pavarde7600         5.84                6.00                
Vardas7781          Pavarde7781         5.84                4.80                
Vardas7806          Pavarde7806         5.84                5.60                
Vardas8765          Pavarde8765         5.84                5.60                
Vardas8910          Pavarde8910         5.84                5.60                
Vardas9274          Pavarde9274         5.84                6.40                
Vardas9487          Pavarde9487         5.84                6.40                
Vardas9503          Pavarde9503         5.84                5.60                
Vardas9954          Pavarde9954         5.84                6.80                
Vardas10025         Pavarde10025        5.84                5.60                
Vardas10218         Pavarde10218        5.84                6.00                
Vardas10368         Pavarde10368        5.84                6.00                
Vardas10392         Pavarde10392        5.84                6.40                
Vardas10475         Pavarde10475        5.84                6.40                
Vardas10509         Pavarde10509        5.84                6.00                
Vardas10568         Pavarde10568        5.84                6.40                
Vardas10575         Pavarde10575        5.84                5.20                
Vardas10671         Pavarde10671        5.84                6.00                
Vardas10751         Pavarde10751        5.84                6.00                
Vardas10968         Pavarde10968        5.84                6.40                
Vardas11009         Pavarde11009        5.84                6.00                
Vardas11047         Pavarde11047        5.84                6.00                
Vardas11078         Pavarde11078        5.84                6.00                
Vardas11120         Pavarde11120        5.84                5.20                
Vardas11476         Pavarde11476        5.84                5.60                
Vardas11484         Pavarde11484        5.84                5.60                
Vardas11487         Pavarde11487        5.84                6.80                
Vardas11510         Pavarde11510        5.84                5.20                
Vardas11606         Pavarde11606        5.84                6.80                
Vardas11631         Pavarde11631        5.84                5.20                
Vardas11778         Pavarde11778        5.84                5.60                
Vardas11912         Pavarde11912        5.84                6.00                
Vardas11931         Pavarde11931        5.84                6.40                
Vardas12036         Pavarde12036        5.84                5.60                
Vardas12113         Pavarde12113        5.84                5.20                
Vardas12537         Pavarde12537        5.84                5.60                
Vardas12584         Pavarde12584        5.84                6.40                
Vardas12653         Pavarde12653        5.84                6.80                
Vardas12958         Pavarde12958        5.84                6.00                
Vardas13186         Pavarde13186        5.84                6.40                
Vardas13329         Pavarde13329        5.84                5.60                
Vardas13336         Pavarde13336        5.84                6.00                
Vardas13635         Pavarde13635        5.84                6.00                
Vardas13658         Pavarde13658        5.84                6.00                
Vardas13691         Pavarde13691        5.84                6.00                
Vardas13863         Pavarde13863        5.84                6.00                
Vardas14009         Pavarde14009        5.84                6.80                
Vardas14012         Pavarde14012        5.84                5.60                
Vardas14217         Pavarde14217        5.84                5.60                
Vardas14293         Pavarde14293        5.84                6.00                
Vardas14304         Pavarde14304        5.84                6.40                
Vardas14342         Pavarde14342        5.84                6.40                
Vardas14446         Pavarde14446        5.84                6.00                
Vardas14853         Pavarde14853        5.84                6.40                
Vardas15174         Pavarde15174        5.84                5.20                
Vardas15318         Pavarde15318        5.84                6.40                
Vardas15403         Pavarde15403        5.84                5.60                
Vardas15417         Pavarde15417        5.84                6.00                
Vardas15586         Pavarde15586        5.84                6.00                
Vardas15608         Pavarde15608        5.84                6.00                
Vardas15635         Pavarde15635        5.84                6.00                
Vardas15707         Pavarde15707        5.84                5.20                
Vardas16043         Pavarde16043        5.84                6.00                
Vardas16100         Pavarde16100        5.84                5.60                
Vardas16197         Pavarde16197        5.84                6.00                
Vardas16318         Pavarde16318        5.84                5.20                
